SubwayLocation,Price,SandwichName,TodayDate,Size
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Tuna,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Turkey Breast,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Turkey Breast,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Turkey Breast,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Turkey Breast & Black Forest Ham,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Turkey Breast & Black Forest Ham,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Turkey Breast & Black Forest Ham,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Turkey Italiano Melt,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Turkey Italiano Melt,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Turkey Italiano Melt,2015-08-14 00:25:44.775000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Veggie Delite®,2015-08-14 00:25:44.775000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Veggie Delite®,2015-08-14 00:25:44.775000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Veggie Delite®,2015-08-14 00:25:44.775000,CHOPPED SALAD
SubwayLocation,Price,SandwichName,TodayDate,Size
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,B.L.T.,2015-08-14 00:34:12.055000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,B.L.T.,2015-08-14 00:34:12.055000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,B.L.T.,2015-08-14 00:34:12.055000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$8.50,Big Philly Cheesesteak,2015-08-14 00:34:12.055000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$6.50,Big Philly Cheesesteak,2015-08-14 00:34:12.055000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Big Philly Cheesesteak,2015-08-14 00:34:12.055000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Black Forest Ham,2015-08-14 00:34:12.055000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Black Forest Ham,2015-08-14 00:34:12.055000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Black Forest Ham,2015-08-14 00:34:12.055000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Chicken & Bacon Ranch Melt,2015-08-14 00:34:12.055000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Chicken & Bacon Ranch Melt,2015-08-14 00:34:12.055000,6-INCH SUB
